date: 2026-08-01, time: 12:00, team_home: Вишнёвые Краги, team_guest: Изумрудные Стражи, surface: Вишнёвая Застава
date: 2027-02-13, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Лунные Кони, surface: Полянка Дубровна
date: 2027-02-13, time: 15:00, team_home: Туманные Шалопаи, team_guest: Шелковые Крылья, surface: Туманный Перевал
date: 2027-02-13, time: 18:00, team_home: Небесные Дудочки, team_guest: Соломенные Валы, surface: Звёздный Ключ
date: 2027-02-14, time: 12:00, team_home: Изумрудные Стражи, team_guest: Хрустальные Флаги, surface: Изумрудград
date: 2027-02-14, time: 15:00, team_home: Шелковые Крылья, team_guest: Путешественники-Кометы, surface: Тихий Сад
date: 2027-02-14, time: 18:00, team_home: Ветерок-Игрун, team_guest: Речной Сонет, surface: Берёзовая Роща
date: 2027-02-19, time: 12:00, team_home: Путешественники-Кометы, team_guest: Вишнёвые Краги, surface: Дальний Бугор
date: 2027-02-19, time: 15:00, team_home: Ветерок-Игрун, team_guest: Берёзовые Струны, surface: Берёзовая Роща
date: 2027-02-19, time: 18:00, team_home: Небесные Дудочки, team_guest: Золотые Колокольчики, surface: Звёздный Ключ
date: 2027-02-20, time: 12:00, team_home: Рыжие Погоны, team_guest: Сказочные Нити, surface: Крапивное
date: 2027-02-20, time: 15:00, team_home: Хрустальные Флаги, team_guest: Берёзовые Струны, surface: Изумрудград
date: 2027-02-20, time: 18:00, team_home: Ветерок-Игрун, team_guest: Снежные Ласточки, surface: Берёзовая Роща
date: 2027-02-21, time: 12:00, team_home: Речной Сонет, team_guest: Хрустальные Флаги, surface: Качаловка
date: 2027-02-21, time: 15:00, team_home: Лунные Кони, team_guest: Небесные Дудочки, surface: Луногорье
date: 2027-02-21, time: 18:00, team_home: Берёзовые Струны, team_guest: Рыжие Погоны, surface: Берёзовая Роща
date: 2027-02-26, time: 12:00, team_home: Пурпурные Мячники, team_guest: Золотые Колокольчики, surface: Гусиное Копытце
date: 2027-02-26, time: 15:00, team_home: Туманные Шалопаи, team_guest: Изумрудные Стражи, surface: Туманный Перевал
date: 2027-02-26, time: 18:00, team_home: Ветерок-Игрун, team_guest: Хрустальные Флаги, surface: Берёзовая Роща
date: 2027-02-27, time: 12:00, team_home: Лунные Кони, team_guest: Радужные Мосты, surface: Луногорье
date: 2027-02-27, time: 15:00, team_home: Речной Сонет, team_guest: Туманные Шалопаи, surface: Качаловка
date: 2027-02-27, time: 18:00, team_home: Ветерок-Игрун, team_guest: Путешественники-Кометы, surface: Берёзовая Роща
date: 2027-02-28, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Путешественники-Кометы, surface: Полянка Дубровна
date: 2027-02-28, time: 15:00, team_home: Берёзовые Струны, team_guest: Радужные Мосты, surface: Берёзовая Роща
date: 2027-02-28, time: 18:00, team_home: Хрустальные Флаги, team_guest: Шелковые Крылья, surface: Изумрудград
date: 2027-03-05, time: 12:00, team_home: Изумрудные Стражи, team_guest: Путешественники-Кометы, surface: Изумрудград
date: 2027-03-05, time: 15:00, team_home: Небесные Дудочки, team_guest: Рыжие Погоны, surface: Звёздный Ключ
date: 2027-03-05, time: 18:00, team_home: Снежные Ласточки, team_guest: Ветерок-Игрун, surface: Снежноград
date: 2027-03-06, time: 12:00, team_home: Снежные Ласточки, team_guest: Изумрудные Стражи, surface: Снежноград
date: 2027-03-06, time: 15:00, team_home: Одуванчиковый Отряд, team_guest: Радужные Мосты, surface: Полянка Дубровна
date: 2027-03-06, time: 18:00, team_home: Шелковые Крылья, team_guest: Золотые Колокольчики, surface: Тихий Сад
date: 2027-03-07, time: 12:00, team_home: Пурпурные Мячники, team_guest: Радужные Мосты, surface: Гусиное Копытце
date: 2027-03-07, time: 15:00, team_home: Сказочные Нити, team_guest: Рыжие Погоны, surface: Златолесье
date: 2027-03-07, time: 18:00, team_home: Шелковые Крылья, team_guest: Речной Сонет, surface: Тихий Сад
date: 2027-03-12, time: 12:00, team_home: Путешественники-Кометы, team_guest: Берёзовые Струны, surface: Дальний Бугор
date: 2027-03-12, time: 15:00, team_home: Одуванчиковый Отряд, team_guest: Золотые Колокольчики, surface: Полянка Дубровна
date: 2027-03-12, time: 18:00, team_home: Вишнёвые Краги, team_guest: Небесные Дудочки, surface: Вишнёвая Застава
date: 2027-03-13, time: 12:00, team_home: Вишнёвые Краги, team_guest: Туманные Шалопаи, surface: Вишнёвая Застава
date: 2027-03-13, time: 15:00, team_home: Ветерок-Игрун, team_guest: Соломенные Валы, surface: Берёзовая Роща
date: 2027-03-13, time: 18:00, team_home: Небесные Дудочки, team_guest: Хрустальные Флаги, surface: Звёздный Ключ
date: 2027-03-14, time: 12:00, team_home: Берёзовые Струны, team_guest: Небесные Дудочки, surface: Берёзовая Роща
date: 2027-03-14, time: 15:00, team_home: Шелковые Крылья, team_guest: Хохотунчики, surface: Тихий Сад
date: 2027-03-14, time: 18:00, team_home: Путешественники-Кометы, team_guest: Ветерок-Игрун, surface: Дальний Бугор
date: 2027-03-19, time: 12:00, team_home: Золотые Колокольчики, team_guest: Соломенные Валы, surface: Туманный Перевал
date: 2027-03-19, time: 15:00, team_home: Речной Сонет, team_guest: Путешественники-Кометы, surface: Качаловка
date: 2027-03-19, time: 18:00, team_home: Снежные Ласточки, team_guest: Хрустальные Флаги, surface: Снежноград
date: 2027-03-20, time: 12:00, team_home: Хохотунчики, team_guest: Путешественники-Кометы, surface: Бархатный Холм
date: 2027-03-20, time: 15:00, team_home: Золотые Колокольчики, team_guest: Речной Сонет, surface: Туманный Перевал
date: 2027-03-20, time: 18:00, team_home: Туманные Шалопаи, team_guest: Одуванчиковый Отряд, surface: Туманный Перевал
date: 2027-03-21, time: 12:00, team_home: Пурпурные Мячники, team_guest: Одуванчиковый Отряд, surface: Гусиное Копытце
date: 2027-03-21, time: 15:00, team_home: Вишнёвые Краги, team_guest: Рыжие Погоны, surface: Вишнёвая Застава
date: 2027-03-21, time: 18:00, team_home: Шелковые Крылья, team_guest: Лунные Кони, surface: Тихий Сад
date: 2027-03-26, time: 12:00, team_home: Изумрудные Стражи, team_guest: Пурпурные Мячники, surface: Изумрудград
date: 2027-03-26, time: 15:00, team_home: Небесные Дудочки, team_guest: Одуванчиковый Отряд, surface: Звёздный Ключ
date: 2027-03-26, time: 18:00, team_home: Хохотунчики, team_guest: Снежные Ласточки, surface: Бархатный Холм
date: 2027-03-27, time: 12:00, team_home: Ветерок-Игрун, team_guest: Небесные Дудочки, surface: Берёзовая Роща
date: 2027-03-27, time: 15:00, team_home: Берёзовые Струны, team_guest: Вишнёвые Краги, surface: Берёзовая Роща
date: 2027-03-27, time: 18:00, team_home: Хрустальные Флаги, team_guest: Хохотунчики, surface: Изумрудград
date: 2027-03-28, time: 12:00, team_home: Туманные Шалопаи, team_guest: Путешественники-Кометы, surface: Туманный Перевал
date: 2027-03-28, time: 15:00, team_home: Сказочные Нити, team_guest: Хохотунчики, surface: Златолесье
date: 2027-03-28, time: 18:00, team_home: Речной Сонет, team_guest: Рыжие Погоны, surface: Качаловка
date: 2027-04-02, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Речной Сонет, surface: Полянка Дубровна
date: 2027-04-02, time: 15:00, team_home: Лунные Кони, team_guest: Берёзовые Струны, surface: Луногорье
date: 2027-04-02, time: 18:00, team_home: Туманные Шалопаи, team_guest: Сказочные Нити, surface: Туманный Перевал
date: 2027-04-03, time: 12:00, team_home: Путешественники-Кометы, team_guest: Рыжие Погоны, surface: Дальний Бугор
date: 2027-04-03, time: 15:00, team_home: Хрустальные Флаги, team_guest: Сказочные Нити, surface: Изумрудград
date: 2027-04-03, time: 18:00, team_home: Вишнёвые Краги, team_guest: Лунные Кони, surface: Вишнёвая Застава
date: 2027-04-04, time: 12:00, team_home: Вишнёвые Краги, team_guest: Путешественники-Кометы, surface: Вишнёвая Застава
date: 2027-04-04, time: 15:00, team_home: Пурпурные Мячники, team_guest: Хрустальные Флаги, surface: Гусиное Копытце
date: 2027-04-04, time: 18:00, team_home: Лунные Кони, team_guest: Шелковые Крылья, surface: Луногорье
date: 2027-04-10, time: 12:00, team_home: Изумрудные Стражи, team_guest: Небесные Дудочки, surface: Изумрудград
date: 2027-04-10, time: 15:00, team_home: Сказочные Нити, team_guest: Путешественники-Кометы, surface: Златолесье
date: 2027-04-10, time: 18:00, team_home: Одуванчиковый Отряд, team_guest: Шелковые Крылья, surface: Полянка Дубровна
date: 2027-04-11, time: 12:00, team_home: Путешественники-Кометы, team_guest: Небесные Дудочки, surface: Дальний Бугор
date: 2027-04-11, time: 15:00, team_home: Речной Сонет, team_guest: Шелковые Крылья, surface: Качаловка
date: 2027-04-11, time: 18:00, team_home: Хохотунчики, team_guest: Изумрудные Стражи, surface: Бархатный Холм
date: 2027-04-16, time: 12:00, team_home: Золотые Колокольчики, team_guest: Изумрудные Стражи, surface: Туманный Перевал
date: 2027-04-16, time: 15:00, team_home: Снежные Ласточки, team_guest: Берёзовые Струны, surface: Снежноград
date: 2027-04-16, time: 18:00, team_home: Туманные Шалопаи, team_guest: Хрустальные Флаги, surface: Туманный Перевал
date: 2027-04-17, time: 12:00, team_home: Сказочные Нити, team_guest: Снежные Ласточки, surface: Златолесье
date: 2027-04-17, time: 15:00, team_home: Шелковые Крылья, team_guest: Берёзовые Струны, surface: Тихий Сад
date: 2027-04-17, time: 18:00, team_home: Хрустальные Флаги, team_guest: Радужные Мосты, surface: Изумрудград
date: 2027-04-18, time: 12:00, team_home: Изумрудные Стражи, team_guest: Берёзовые Струны, surface: Изумрудград
date: 2027-04-18, time: 15:00, team_home: Путешественники-Кометы, team_guest: Шелковые Крылья, surface: Дальний Бугор
date: 2027-04-18, time: 18:00, team_home: Небесные Дудочки, team_guest: Речной Сонет, surface: Звёздный Ключ
date: 2027-04-23, time: 12:00, team_home: Шелковые Крылья, team_guest: Сказочные Нити, surface: Тихий Сад
date: 2027-04-23, time: 15:00, team_home: Ветерок-Игрун, team_guest: Хохотунчики, surface: Берёзовая Роща
date: 2027-04-23, time: 18:00, team_home: Вишнёвые Краги, team_guest: Золотые Колокольчики, surface: Вишнёвая Застава
date: 2027-04-24, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Вишнёвые Краги, surface: Полянка Дубровна
date: 2027-04-24, time: 15:00, team_home: Соломенные Валы, team_guest: Шелковые Крылья, surface: Липовый Бор
date: 2027-04-24, time: 18:00, team_home: Туманные Шалопаи, team_guest: Лунные Кони, surface: Туманный Перевал
date: 2027-04-25, time: 12:00, team_home: Соломенные Валы, team_guest: Снежные Ласточки, surface: Липовый Бор
date: 2027-04-25, time: 15:00, team_home: Небесные Дудочки, team_guest: Ветерок-Игрун, surface: Звёздный Ключ
date: 2027-04-25, time: 18:00, team_home: Путешественники-Кометы, team_guest: Золотые Колокольчики, surface: Дальний Бугор
date: 2027-04-30, time: 12:00, team_home: Радужные Мосты, team_guest: Золотые Колокольчики, surface: Светлый Порог
date: 2027-04-30, time: 15:00, team_home: Вишнёвые Краги, team_guest: Хохотунчики, surface: Вишнёвая Застава
date: 2027-04-30, time: 18:00, team_home: Изумрудные Стражи, team_guest: Речной Сонет, surface: Изумрудград
date: 2027-05-01, time: 12:00, team_home: Сказочные Нити, team_guest: Небесные Дудочки, surface: Златолесье
date: 2027-05-01, time: 15:00, team_home: Одуванчиковый Отряд, team_guest: Берёзовые Струны, surface: Полянка Дубровна
date: 2027-05-01, time: 18:00, team_home: Путешественники-Кометы, team_guest: Хрустальные Флаги, surface: Дальний Бугор
date: 2027-05-02, time: 12:00, team_home: Путешественники-Кометы, team_guest: Речной Сонет, surface: Дальний Бугор
date: 2027-05-02, time: 15:00, team_home: Рыжие Погоны, team_guest: Туманные Шалопаи, surface: Крапивное
date: 2027-05-02, time: 18:00, team_home: Соломенные Валы, team_guest: Небесные Дудочки, surface: Липовый Бор
date: 2027-05-07, time: 12:00, team_home: Лунные Кони, team_guest: Золотые Колокольчики, surface: Луногорье
date: 2027-05-07, time: 15:00, team_home: Небесные Дудочки, team_guest: Радужные Мосты, surface: Звёздный Ключ
date: 2027-05-07, time: 18:00, team_home: Вишнёвые Краги, team_guest: Речной Сонет, surface: Вишнёвая Застава
date: 2027-05-08, time: 12:00, team_home: Небесные Дудочки, team_guest: Лунные Кони, surface: Звёздный Ключ
date: 2027-05-08, time: 15:00, team_home: Сказочные Нити, team_guest: Пурпурные Мячники, surface: Златолесье
date: 2027-05-08, time: 18:00, team_home: Радужные Мосты, team_guest: Одуванчиковый Отряд, surface: Светлый Порог
date: 2027-05-09, time: 12:00, team_home: Небесные Дудочки, team_guest: Берёзовые Струны, surface: Звёздный Ключ
date: 2027-05-09, time: 15:00, team_home: Радужные Мосты, team_guest: Пурпурные Мячники, surface: Светлый Порог
date: 2027-05-09, time: 18:00, team_home: Туманные Шалопаи, team_guest: Золотые Колокольчики, surface: Туманный Перевал
date: 2027-05-14, time: 12:00, team_home: Рыжие Погоны, team_guest: Лунные Кони, surface: Крапивное
date: 2027-05-14, time: 15:00, team_home: Берёзовые Струны, team_guest: Путешественники-Кометы, surface: Берёзовая Роща
date: 2027-05-14, time: 18:00, team_home: Одуванчиковый Отряд, team_guest: Небесные Дудочки, surface: Полянка Дубровна
date: 2027-05-15, time: 12:00, team_home: Радужные Мосты, team_guest: Ветерок-Игрун, surface: Светлый Порог
date: 2027-05-15, time: 15:00, team_home: Золотые Колокольчики, team_guest: Лунные Кони, surface: Туманный Перевал
date: 2027-05-15, time: 18:00, team_home: Одуванчиковый Отряд, team_guest: Туманные Шалопаи, surface: Полянка Дубровна
date: 2027-05-16, time: 12:00, team_home: Хрустальные Флаги, team_guest: Вишнёвые Краги, surface: Изумрудград
date: 2027-05-16, time: 15:00, team_home: Лунные Кони, team_guest: Изумрудные Стражи, surface: Луногорье
date: 2027-05-16, time: 18:00, team_home: Радужные Мосты, team_guest: Путешественники-Кометы, surface: Светлый Порог
date: 2027-05-21, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Снежные Ласточки, surface: Полянка Дубровна
date: 2027-05-21, time: 15:00, team_home: Соломенные Валы, team_guest: Пурпурные Мячники, surface: Липовый Бор
date: 2027-05-21, time: 18:00, team_home: Золотые Колокольчики, team_guest: Шелковые Крылья, surface: Туманный Перевал
date: 2027-05-22, time: 12:00, team_home: Сказочные Нити, team_guest: Ветерок-Игрун, surface: Златолесье
date: 2027-05-22, time: 15:00, team_home: Берёзовые Струны, team_guest: Туманные Шалопаи, surface: Берёзовая Роща
date: 2027-05-22, time: 18:00, team_home: Хохотунчики, team_guest: Вишнёвые Краги, surface: Бархатный Холм
date: 2027-05-23, time: 12:00, team_home: Изумрудные Стражи, team_guest: Радужные Мосты, surface: Изумрудград
date: 2027-05-23, time: 15:00, team_home: Вишнёвые Краги, team_guest: Снежные Ласточки, surface: Вишнёвая Застава
date: 2027-05-23, time: 18:00, team_home: Хохотунчики, team_guest: Берёзовые Струны, surface: Бархатный Холм
date: 2027-05-28, time: 12:00, team_home: Берёзовые Струны, team_guest: Ветерок-Игрун, surface: Берёзовая Роща
date: 2027-05-28, time: 15:00, team_home: Шелковые Крылья, team_guest: Туманные Шалопаи, surface: Тихий Сад
date: 2027-05-28, time: 18:00, team_home: Лунные Кони, team_guest: Хохотунчики, surface: Луногорье
date: 2027-05-29, time: 12:00, team_home: Хохотунчики, team_guest: Туманные Шалопаи, surface: Бархатный Холм
date: 2027-05-29, time: 15:00, team_home: Пурпурные Мячники, team_guest: Берёзовые Струны, surface: Гусиное Копытце
date: 2027-05-29, time: 18:00, team_home: Одуванчиковый Отряд, team_guest: Изумрудные Стражи, surface: Полянка Дубровна
date: 2027-05-30, time: 12:00, team_home: Рыжие Погоны, team_guest: Речной Сонет, surface: Крапивное
date: 2027-05-30, time: 15:00, team_home: Одуванчиковый Отряд, team_guest: Пурпурные Мячники, surface: Полянка Дубровна
